Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
50;24;0,12925052642822266;0;0;0,520869255065918;0;0
100;4;25,687148094177246;0;0;;1;
70;89;11,75000548362732;0;3;;1;
60;33;0,268643856048584;0;0;1,6388356685638428;0;0
50;85;0,13029170036315918;0;0;0,39319872856140137;0;0
80;16;1,2375307083129883;0;0;8,518733024597168;0;0
80;35;8,918209075927734;0;3;;1;
90;99;;1;;;1;
70;38;1,628978967666626;0;4;35,79315161705017;0;4
90;94;0,016637563705444336;0;0;0,2664048671722412;0;0
80;92;1,8911046981811523;0;5;22,31256675720215;0;5
50;41;0,13262581825256348;0;0;0,6693441867828369;0;0
110;48;0,0193479061126709;0;0;0,39069175720214844;0;0
90;61;;1;;;1;
50;37;0,13930177688598633;0;0;0,506885290145874;0;0
110;65;0,019345521926879883;0;0;0,37415456771850586;0;0
60;36;0,8145966529846191;0;3;11,018737077713013;0;3
50;97;0,4023442268371582;0;3;3,241809606552124;0;3
60;40;0,2636594772338867;0;0;1,5468189716339111;0;0
100;27;;1;;;1;
110;66;;1;;;1;
80;17;5,331437826156616;0;10;;1;
80;82;26,585384607315063;0;2;;1;
60;27;0,25947117805480957;0;0;1,352694034576416;0;0
50;58;0,12593889236450195;0;0;0,513657808303833;0;0
80;68;1,2633640766143799;0;0;10,31143832206726;0;0
120;34;;1;;;1;
70;34;0,015441417694091797;0;0;0,1547086238861084;0;0
50;45;0,1286153793334961;0;0;0,498410701751709;0;0
120;41;;1;;;1;
50;8;0,09016799926757812;0;4;0,6719133853912354;0;4
100;16;44,15380644798279;0;0;;1;
110;51;;1;;;1;
120;73;;1;;;1;
100;0;25,676719427108765;0;0;;1;
110;1;;1;;;1;
60;10;0,26508498191833496;0;0;1,47062349319458;0;0
100;46;;1;;;1;
120;47;;1;;;1;
110;83;;1;;;1;
60;2;1,0513689517974854;0;4;12,553413391113281;0;4
110;14;;1;;;1;
120;71;;1;;;1;
110;93;;1;;;1;
60;49;3,2221949100494385;0;5;42,419809341430664;0;5
70;42;2,948765754699707;0;4;59,766029357910156;0;4
100;68;55,96498155593872;0;0;;1;
110;52;;1;;;1;
80;11;7,395362138748169;0;2;;1;
80;91;;1;;;1;
120;42;;1;;;1;
90;88;12,579936504364014;0;5;;1;
110;37;;1;;;1;
90;2;7,087655544281006;0;2;;1;
100;57;;1;;;1;
120;1;;1;;;1;
120;21;;1;;;1;
120;11;;1;;;1;
90;40;7,453783273696899;0;0;55,395612716674805;0;0
110;8;23,75212025642395;0;4;;1;
90;23;;1;;;1;
90;50;0,01681208610534668;0;0;0,24271035194396973;0;0
90;71;32,833375215530396;0;3;;1;
50;19;0,1285839080810547;0;3;0,9357466697692871;0;3
100;44;29,711060523986816;0;0;;1;
60;24;0,7093639373779297;0;9;8,118453741073608;0;9
110;81;;1;;;1;
90;58;22,85055899620056;0;11;;1;
120;6;;1;;;1;
120;65;;1;;;1;
120;39;;1;;;1;
100;39;7,283532619476318;0;1;;1;
90;95;7,574378490447998;0;0;58,50879383087158;0;0
80;41;1,2360703945159912;0;0;7,844573020935059;0;0
110;46;;1;;;1;
60;68;0,27030491828918457;0;0;1,8530879020690918;0;0
80;9;0,5904836654663086;0;1;4,612655401229858;0;1
80;32;1,2517063617706299;0;0;12,246818780899048;0;0
80;33;;1;;;1;
60;29;1,2978312969207764;0;9;15,68567943572998;0;9
110;86;;1;;;1;
100;23;56,314072608947754;0;0;;1;
110;76;;1;;;1;
50;1;0,13379454612731934;0;0;0,5783357620239258;0;0
100;42;0,017842769622802734;0;0;0,32672619819641113;0;0
110;31;;1;;;1;
70;31;0,5728158950805664;0;0;4,8895299434661865;0;0
50;75;0,1095728874206543;0;0;0,5312459468841553;0;0
120;48;;1;;;1;
60;20;0,7335481643676758;0;3;6,296793699264526;0;3
120;9;;1;;;1;
100;81;34,49622941017151;0;0;;1;
60;91;0,43447160720825195;0;6;3,7330214977264404;0;6
110;22;;1;;;1;
100;13;55,772144079208374;0;0;;1;
120;3;;1;;;1;
60;69;0,48314499855041504;0;8;4,711834669113159;0;8
120;50;;1;;;1;
50;10;0,029223203659057617;0;2;0,16765046119689941;0;2
60;46;0,19349336624145508;0;4;1,2831194400787354;0;4
100;65;;1;;;1;
120;32;;1;;;1;
120;61;0,02074432373046875;0;0;0,47692155838012695;0;0
50;87;0,07034635543823242;0;3;0,3930227756500244;0;3
110;25;46,06708097457886;0;1;;1;
60;42;1,1564087867736816;0;4;15,424813985824585;0;4
60;12;0,25673866271972656;0;0;1,2715647220611572;0;0
50;20;0,12888336181640625;0;0;0,46889185905456543;0;0
110;87;;1;;;1;
90;16;;1;;;1;
50;69;0,06419062614440918;0;1;0,22449803352355957;0;1
50;4;0,12661361694335938;0;0;0,38106822967529297;0;0
80;23;1,9412076473236084;0;5;29,097610473632812;0;5
80;83;27,221251964569092;0;2;;1;
60;65;0,2786252498626709;0;6;2,0916919708251953;0;6
100;7;;1;;;1;
80;8;1,255580186843872;0;0;12,638158798217773;0;0
100;29;;1;;;1;
80;65;0,016145706176757812;0;0;0,21184062957763672;0;0
60;88;0,26572132110595703;0;0;1,0739314556121826;0;0
110;64;;1;;;1;
80;99;1,2562367916107178;0;0;11,064753532409668;0;0
80;19;1,2732751369476318;0;0;11,938000679016113;0;0
50;26;0,13303685188293457;0;0;0,510472297668457;0;0
110;55;;1;;;1;
90;17;6,67571759223938;0;0;36,8385124206543;0;0
60;30;0,013692617416381836;0;0;0,10866641998291016;0;0
50;31;0,14261150360107422;0;7;0,8130249977111816;0;7
60;71;3,064626932144165;0;3;40,015077352523804;0;3
50;72;0,012352705001831055;0;0;0,07111406326293945;0;0
50;48;0,5174047946929932;0;1;3,7472026348114014;0;1
70;99;1,7812001705169678;0;6;21,61240792274475;0;6
100;88;44,231191873550415;0;0;;1;
120;16;;1;;;1;
70;14;10,404078960418701;0;11;;1;
70;75;0,9115884304046631;0;8;48,2380690574646;0;8
100;59;0,018444538116455078;0;0;0,3451077938079834;0;0
60;32;2,8018767833709717;0;1;38,849830627441406;0;1
70;49;4,893981695175171;0;2;;1;
120;43;0,020390748977661133;0;0;0,4614450931549072;0;0
100;61;32,02957201004028;0;0;;1;
120;58;;1;;;1;
100;52;7,332414865493774;0;1;;1;
100;51;8,603058576583862;0;1;;1;
90;12;4,979738235473633;0;0;39,74787664413452;0;0
70;72;2,5216598510742188;0;3;49,143643617630005;0;3
100;2;43,09656381607056;0;0;;1;
60;83;2,156641721725464;0;4;30,31716227531433;0;4
90;9;;1;;;1;
70;53;13,959851741790771;0;6;;1;
80;97;17,914798498153687;0;8;;1;
50;51;0,13832759857177734;0;0;0,5922114849090576;0;0
90;35;;1;;;1;
80;25;0,01574563980102539;0;0;0,19883179664611816;0;0
50;32;0,07877826690673828;0;0;0,553518533706665;0;0
90;15;4,74469518661499;0;0;29,36414861679077;0;0
70;8;0,5662729740142822;0;14;4,745755672454834;0;14
50;15;0,1287848949432373;0;0;0,497161865234375;0;0
90;60;5,945961952209473;0;3;34,324665546417236;0;3
90;91;6,671487092971802;0;0;51,20891833305359;0;0
60;93;3,1844048500061035;0;4;33,168667793273926;0;4
120;99;;1;;;1;
120;98;;1;;;1;
110;18;;1;;;1;
120;2;57,59622645378113;0;1;;1;
80;43;3,224095106124878;0;13;49,979532957077026;0;13
70;41;0,552642822265625;0;0;4,228916883468628;0;0
90;73;13,90177845954895;0;11;;1;
60;95;6,157485008239746;0;1;;1;
120;64;;1;;;1;
80;81;1,2575321197509766;0;0;12,810767650604248;0;0
60;92;0,40833306312561035;0;10;2,956460475921631;0;10
70;10;26,39400553703308;0;7;;1;
110;16;;1;;;1;
80;87;0,5776379108428955;0;1;3,5577139854431152;0;1
110;21;;1;;;1;
120;72;;1;;;1;
70;63;1,5385282039642334;0;5;22,97815704345703;0;5
50;35;0,09508204460144043;0;4;0,7260305881500244;0;4
90;25;7,794649362564087;0;4;;1;
100;93;;1;;;1;
120;95;;1;;;1;
120;81;0,020544052124023438;0;0;0,49188804626464844;0;0
110;10;;1;;;1;
80;47;;1;;;1;
60;13;0,26817989349365234;0;0;1,6018526554107666;0;0
120;87;0,019704103469848633;0;0;0,458080530166626;0;0
70;36;4,853929281234741;0;3;;1;
70;5;0,014759540557861328;0;0;0,15046215057373047;0;0
70;13;1,9278106689453125;0;7;27,55769991874695;0;7
50;90;0,07281994819641113;0;1;0,31349682807922363;0;1
90;57;7,542571306228638;0;0;50,4308123588562;0;0
50;3;0,13114094734191895;0;0;0,3763575553894043;0;0
100;11;0,017830371856689453;0;0;0,35558152198791504;0;0
90;93;0,017028093338012695;0;0;0,25609850883483887;0;0
80;10;1,9246134757995605;0;5;24,497325897216797;0;5
60;39;4,690086126327515;0;3;54,016239643096924;0;3
120;38;;1;;;1;
60;23;1,2222099304199219;0;2;17,21724271774292;0;2
60;64;0,8943414688110352;0;9;27,33399796485901;0;9
120;8;;1;;;1;
50;46;0,04808306694030762;0;5;0,25037264823913574;0;5
120;37;;1;;;1;
110;98;;1;;;1;
110;90;45,578123569488525;0;1;;1;
60;47;1,6042869091033936;0;4;22,338956832885742;0;4
60;60;6,41807222366333;0;10;3,4627645015716553;0;10
100;56;39,91985607147217;0;0;;1;
